,name,distance,mass,discovery_date,planet_type,planet_radius_in_unit,mass_of_hoststar.1,goldilock,gravity
39,81 Ceti b,331.0,5.3 Jupiters,2008,Gas Giant,,10.3,False,
40,8 Ursae Minoris b,533.0,1.31 Jupiters,2015,Gas Giant,,11.0,True,
41,91 Aquarii b,144.0,3.2 Jupiters,2013,Gas Giant,,11.0,True,
42,AB Pictoris b,163.0,13.5 Jupiters,2005,Gas Giant,,,False,
43,Alpha Arietis b,66.0,1.8 Jupiters,2010,Gas Giant,,13.9,True,
44,Alpha Tauri b,67.0,6.47 Jupiters,2015,Gas Giant,,45.1,True,
45,AU Microscopii b,32.0,0.18 Jupiters,2020,Gas Giant,0.375,0.75,False,406.8096
46,BD+03 2562 b,8540.0,6.4 Jupiters,2017,Gas Giant,,32.35,True,
47,BD-06 1339 b,66.0,8.5 Earths,2013,Neptune-like,,0.86,False,
48,BD-06 1339 c,66.0,0.17 Jupiters,2013,Gas Giant,,8.95,True,
49,BD-08 2823 b,135.0,12.7132 Earths,2009,Neptune-like,,14.7,False,
50,BD-08 2823 c,135.0,0.33 Jupiters,2009,Gas Giant,,71.02,True,
51,BD-10 3166 b,276.0,0.59 Jupiters,2000,Gas Giant,,71.02,False,
52,BD-11 4672 b,89.0,0.65 Jupiters,2014,Gas Giant,,17.3,False,
53,BD-11 4672 c,89.0,15.37 Earths,2020,Neptune-like,0.23,1.08,False,290.54820415879016
54,BD-13 2130 b,3095.0,9.78 Jupiters,2007,Gas Giant,,11.0,True,
55,BD+14 4559 b,161.0,1.04 Jupiters,2009,Gas Giant,,10.33,True,
56,BD+15 2375 b,2525.0,1.061 Jupiters,2016,Gas Giant,,7.6,True,
57,BD+15 2940 b,1408.0,1.11 Jupiters,2013,Gas Giant,,,True,
58,BD-17 63 b,113.0,5.1 Jupiters,2008,Gas Giant,,,True,
59,BD+20 2457 b,5450.0,55.59 Jupiters,2009,Gas Giant,,0.71,True,
60,BD+20 2457 c,5450.0,12.47 Jupiters,2009,Gas Giant,,0.71,False,
61,BD+20 274 b,4514.0,4.2 Jupiters,2012,Gas Giant,,0.91,True,
62,BD+20 594 b,588.0,22.2481 Earths,2016,Neptune-like,,0.64,False,
63,BD+48 738 b,2910.0,0.91 Jupiters,2011,Gas Giant,,0.64,True,
64,BD+48 740 b,2215.0,1.7 Jupiters,2018,Gas Giant,,19.17,True,
65,BD+49 828 b,1460.0,1.6 Jupiters,2015,Gas Giant,,0.69,False,
